,DateTime,Uid,Tweet,Label (Specialist),HashTag
0,18/5/2021 07:24,a38755f80aee,ถ้าฉันตายไปจริงๆก็คงดีสินะ,Level 2,#โรคซึมเศร้า
1,20/5/2021 16:06,a38755f80aee,เหนื่อยเหนื่อยจนจะตายอยู่แล้วมันไมกันนะนั่งเล่นเฉยๆหัวเราะอยู่ดีๆมันก็ดิ่งขึ้นมา,Level 1,#โรคซึมเศร้า
2,16/6/2021 07:00,9b7d113b270a,พยายามที่จะมีชีวิตอยู่แต่ก็เหนื่อยกับโลกนี้เหลือเกินเหนื่อกับการใช้ชีวิตตอนนี้ฉันเหนื่อยเหนื่อยมากจริงๆ,Level 1,#โรคซึมเศร้า
3,28/5/2021 18:43,0b981040c16d,ชีวิตก็มีอยู่แค่นี้อยากหายไปแล้วนะ,Level 1,#โรคซึมเศร้า
4,13/7/2021 18:06,937c5794646d,วันวุ่นๆของวัยรุ่นกินยาเกินขนาดกรีดแขนพร้อม,Level 5,#โรคซึมเศร้า
5,1/6/2021 05:47,57f512e6bc53,เมื่อไหร่นะที่หายไปจากโลกนี้ชีวิตแม่งไร้ค่า,Level 1,#โรคซึมเศร้า
6,20/5/2021 15:51,63f76b567278,อยากตาย,Level 1,#โรคซึมเศร้า
7,19/7/2021 16:27,c37c041e1dd4,อยากตายๆไปซะครอบครัวจะได้รักกูซักที,Level 1,#โรคซึมเศร้า
8,30/5/2021 20:12,cba844c4b3ec,เวลาทนความเจ็บปวดไม่ไหวแล้วชอบทำร้ายตัวเองแก้ยังไงดีคะ,Level 5,#โรคซึมเศร้า
9,1/6/2021 19:39,cba844c4b3ec,หาซื้อไซยาไนด์ครับไม่ก็ปืนถูกๆก็ได้ใครมีร้านที่พอจะรู้ช่วยมาหน่อยครับ,Level 4,#โรคซึมเศร้า
10,31/5/2021 07:34,cba844c4b3ec,เหนื่อยแล้วตายยังไงเจ็บน้อยสุดอะ,Level 3,#โรคซึมเศร้า
11,2/9/2021 09:45,e7b97df2790a,เราเหนื่อยเมื่อไหร่จะหลุดพ้นอะไรแบบนี้สักที,Level 1,#ความสุขที่หายไป #ซึมเศร้า #ซึมเศร้าเพื่อนรัก
12,21/5/2021 01:50,873e1b3ad2b3,ไม่มีใครอยากตายหรอกเขาแค่กลัวการมีชีวิตเท่านั้นเอง,Level 1,#โรคซึมเศร้า #ไบโพลาร์
13,4/9/2021 08:20,13e1d3929b31,มีอะไรที่ทำให้หายไปโดยที่ไม่ต้องฆ่าตัวตายมั้ยอยากจบชีวิตเอาไว้ตรงนี้เหนื่อย,Level 1,#โรคซึมเศร้า
14,4/9/2021 08:16,13e1d3929b31,ไม่น่าเกิดมาเลยเบื่อเกลียดตัวเองชิบหาย,Level 1,#โรคซึมเศร้า
15,11/9/2021 06:14,13e1d3929b31,ใกล้ถึงวันเกิดตัวเองแล้วสินะฆ่าตัวตายในวันเกิดดีมั้ยนะ,Level 3,#โรคซึมเศร้า
16,13/9/2021 09:35,13e1d3929b31,ขอโทษนะที่เกิดมาไร้ค่าขนาดนี้,Level 1,#โรคซึมเศร้า
17,16/9/2021 02:57,13e1d3929b31,ถ้าเรียนต่อจะตายไวขึ้นรึป่าว,Level 1,#โรคซึมเศร้า
18,19/9/2021 10:45,13e1d3929b31,วันนี้ไม่อยากกินยาแล้วอยากจะจากโลกนี้ไปเป็นเพียงความทรงจำก็พอเจ็บปวด,Level 1,#โรคซึมเศร้า
19,17/6/2021 03:46,976063cef5b3,ต้องกินยากี่เม็ดถึงจะเกือบตายคะหรือต้องกินกับแอลกอฮอล์,Level 4,#โรคซึมเศร้า
21,4/9/2021 14:44,976063cef5b3,ถ้าวันนึงฉันทนไม่ไหวแล้วมันกลายเป็นว่าไม่ฉันรักตัวเองเลยเหรอ,Level 1,#โรคซึมเศร้า
22,14/9/2021 13:05,976063cef5b3,ถ้าตอนนี้มีใครมาฆ่ากูให้ตายก็คงดี,Level 1,#โรคซึมเศร้า
23,5/8/2021 23:05,9b775d4e2ab7,ทำไมไม่เป็นเราที่ตายคนอยากตายอยู่ตรงนี้ให้คนที่เขาอยากมีชีวิตได้มีชีวิตอยู่ต่อไปเถอะ,Level 1,#โรคซึมเศร้า
24,18/5/2021 05:46,5758f9083a5e,ไหนอะเหตุผลที่ทำให้อยากอยู่ต่อ,Level 1,#โรคซึมเศร้า
25,2/8/2021 17:25,5758f9083a5e,ทำไมการมีชีวิตอยู่ถึงทรมานแบบนี้นะ,Level 1,#โรคซึมเศร้า
