,DateTime,Uid,Tweet,Label (Specialist),HashTag
0,2021-05-18 7:24:39,a38755f80aee,ถ้าฉันตายไปจริงๆก็คงดีสินะ,Level 2,#โรคซึมเศร้า
1,2021-05-20 16:06:12,a38755f80aee,เหนื่อยเหนื่อยจนจะตายอยู่แล้วมันไมกันนะนั่งเล่นเฉยๆหัวเราะอยู่ดีๆมันก็ดิ่งขึ้นมา,Level 1,#โรคซึมเศร้า
2,2021-06-16 7:00:59,9b7d113b270a,พยายามที่จะมีชีวิตอยู่แต่ก็เหนื่อยกับโลกนี้เหลือเกินเหนื่อกับการใช้ชีวิตตอนนี้ฉันเหนื่อยเหนื่อยมากจริงๆ,Level 1,#โรคซึมเศร้า
3,2021-05-28 18:43:41,0b981040c16d,ชีวิตก็มีอยู่แค่นี้อยากหายไปแล้วนะ,Level 1,#โรคซึมเศร้า
4,2021-07-13 18:06:11,937c5794646d,วันวุ่นๆของวัยรุ่นกินยาเกินขนาดกรีดแขนพร้อม,Level 5,#โรคซึมเศร้า
5,2021-06-01 5:47:16,57f512e6bc53,เมื่อไหร่นะที่หายไปจากโลกนี้ชีวิตแม่งไร้ค่า,Level 1,#โรคซึมเศร้า
6,2021-05-20 15:51:43,63f76b567278,อยากตาย,Level 1,#โรคซึมเศร้า
7,2021-07-19 16:27:01,c37c041e1dd4,อยากตายๆไปซะครอบครัวจะได้รักกูซักที,Level 1,#โรคซึมเศร้า
8,2021-05-30 20:12:52,cba844c4b3ec,เวลาทนความเจ็บปวดไม่ไหวแล้วชอบทำร้ายตัวเองแก้ยังไงดีคะ,Level 5,#โรคซึมเศร้า
9,2021-06-01 19:39:11,cba844c4b3ec,หาซื้อไซยาไนด์ครับไม่ก็ปืนถูกๆก็ได้ใครมีร้านที่พอจะรู้ช่วยมาหน่อยครับ,Level 4,#โรคซึมเศร้า
10,2021-05-31 7:34:58,cba844c4b3ec,เหนื่อยแล้วตายยังไงเจ็บน้อยสุดอะ,Level 3,#โรคซึมเศร้า
11,2021-09-02 9:45:22,e7b97df2790a,เราเหนื่อยเมื่อไหร่จะหลุดพ้นอะไรแบบนี้สักที,Level 1,#ความสุขที่หายไป #ซึมเศร้า #ซึมเศร้าเพื่อนรัก
